         313219 function calls (308076 primitive calls) in 21.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      191    0.001    0.000    0.008    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1563(__getitem__)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_request.py:1(<module>)
       60    0.000    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:3189(open)
    65792    0.008    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:124(<genexpr>)
       30    0.001    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/core/request.py:216(__init__)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/hdrs.py:1(<module>)
        4    0.000    0.000    0.007    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/state.py:143(node_table)
       14    0.007    0.001    0.007    0.001 {method 'tobytes' of 'numpy.ndarray' objects}
     4335    0.004    0.000    0.007    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1297(__setattr__)
        1    0.000    0.000    0.007    0.007 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1297(start_monitor)
      255    0.002    0.000    0.007    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:596(get_serialization_context)
      226    0.001    0.000    0.007    0.000 <frozen abc>:105(__new__)
